;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Provision y cancelacion de deudas incobrables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo neto de operaciones discontinuadas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otras actividades operativas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cambio en cuentas por cobrar;2094000000,0;2578000000,0;3768000000,0;2169000000,0;4340000000,0;6524000000,0;9095000000,0;2317000000,0;7833000000,0;5891000000,0;8779000000,0
Cambio en inventarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cambio en cuentas por pagar;203000000,0;110000000,0;731000000,0;1067000000,0;428000000,0;694000000,0;283000000,0;707000000,0;664000000,0;359000000,0;907000000,0
Cambio en los ingresos no devengados;43000000,0;223000000,0;390000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cambio de impuestos sobre la renta;-179000000,0;3125000000,0;8211000000,0;-2251000000,0;-3128000000,0;1209000000,0;-625000000,0;584000000,0;523000000,0;-2418000000,0;-3226000000,0
Efectivo de Operaciones;26572000000,0;36036000000,0;37091000000,0;47971000000,0;54520000000,0;65124000000,0;91652000000,0;91495000000,0;101746000000,0;125299000000,0;164713000000,0
Gastos de capital;9915000000,0;10212000000,0;13184000000,0;25139000000,0;23548000000,0;22281000000,0;24640000000,0;31485000000,0;32251000000,0;52535000000,0;91447000000,0
Venta de inmobilizado material;0,0;240000000,0;99000000,0;98000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Adquisiciones con efectivo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Desinversiones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Inversion en valores negociables y de renta variable;74368000000,0;84509000000,0;92195000000,0;50158000000,0;100315000000,0;136576000000,0;135196000000,0;78874000000,0;77858000000,0;86679000000,0;103773000000,0
Efectivo de la inversion;-23711000000,0;-31165000000,0;-31401000000,0;-28504000000,0;-29491000000,0;-32773000000,0;-35523000000,0;-20298000000,0;-27063000000,0;-45536000000,0;-120291000000,0
Deuda total emitida;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total de la deuda reembolsada;13728000000,0;10064000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Emision de acciones ordinarias;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Emision de acciones preferentes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Dividendos preferenciales pagados;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo de Financiamiento;-4225000000,0;-8332000000,0;-8298000000,0;-13179000000,0;-23209000000,0;-24408000000,0;-61362000000,0;-69757000000,0;-72093000000,0;-79733000000,0;-37388000000,0
Ajustes del tipo de cambio de divisas;-434000000,0;-170000000,0;405000000,0;-302000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cambio neto en efectivo;-1798000000,0;-3631000000,0;-2203000000,0;5986000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Intereses en efectivo pagados;96000000,0;84000000,0;84000000,0;69000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Impuestos en efectivo pagados;3338000000,0;1643000000,0;6191000000,0;5671000000,0;8203000000,0;4990000000,0;13412000000,0;18892000000,0;19164000000,0;27400000000,0;21526000000,0
Deuda total;7675000000,0;4000000000,0;4026000000,0;4062000000,0;4685000000,0;16318000000,0;15440000000,0;15312000000,0;15862000000,0;15299000000,0;51081000000,0
Deuda neta;-65391000000,0;-82333000000,0;-97845000000,0;-12639000000,0;-13813000000,0;-10147000000,0;-5505000000,0;-6567000000,0;-8186000000,0;-8167000000,0;20373000000,0
Flujo de caja libre;16657000000,0;25824000000,0;23907000000,0;22832000000,0;30972000000,0;42843000000,0;67012000000,0;60010000000,0;69495000000,0;72764000000,0;73266000000,0
Valor contable / Accion;8,753280725338547;10,056227967012541;10,974793568639416;12,768777783528574;14,632555369115329;16,47932087520845;19,002191442349663;19,934936570939374;22,743097913322632;26,117458022013338;33,954619787408014
Flujo de caja por accion;1,9329364455850602;2,606420143123104;2,6692506869051202;3,448392365244495;3,960280967842693;4,822413961630398;6,921091462134565;7,120787609930734;8,165810593900481;10,066602394151202;13,467947669664758
